Date,AAPL.O,Returns,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,Prediction
2010-01-13,30.092827050000004,0.41857101000000085,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0
2010-01-14,29.918541510000004,-0.17428553999999963,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
2010-01-15,29.418542010000003,-0.49999950000000126,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
2010-01-20,30.246398325,-0.47357095499999957,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0
2010-01-21,29.724541704000004,-0.5218566209999977,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
2010-01-22,28.249971750000004,-1.4745699539999997,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2010-01-25,29.010685275,0.7607135249999963,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
2010-01-26,29.41997058,0.40928530500000093,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2010-01-27,29.697684588,0.27771400800000023,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
2010-01-28,28.46997153,-1.2277130580000026,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2010-01-29,27.437543991,-1.0324275390000004,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
2010-02-01,27.818543610000003,0.38099961900000423,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
2010-02-02,27.979972020000005,0.16142841000000274,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
2010-02-03,28.46140011,0.4814280899999943,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
2010-02-04,27.435686850000003,-1.0257132599999963,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
2010-02-05,27.922829220000004,0.4871423700000008,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
2010-02-08,27.731400840000003,-0.1914283800000014,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
2010-02-09,28.02711483,0.2957139899999959,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
2010-02-10,27.873686412000005,-0.15342841799999363,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
2010-02-11,28.38140019,0.5077137779999958,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
2010-02-12,28.62568566,0.24428546999999767,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
2010-02-17,28.935685350000004,-0.1214284499999998,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
2010-02-18,28.989685296,0.05399994599999758,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
2010-02-19,28.80997119,-0.17971410600000226,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
2010-02-22,28.630828512,-0.17914267799999806,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
2010-02-23,28.151257563,-0.4795709489999993,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
2010-02-24,28.665114192000004,0.5138566290000028,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
2010-02-25,28.857114000000003,0.1919998079999985,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2010-02-26,29.231399340000003,0.37428534000000013,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
2010-03-01,29.855684430000004,0.6242850900000008,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2010-03-02,29.83568445,-0.019999980000005024,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
2010-03-03,29.90425581000001,0.06857136000001063,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
2010-03-04,30.101398470000003,0.1971426599999937,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
2010-03-05,31.27854015,1.1771416799999983,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
2010-03-08,31.297111560000005,0.018571410000003397,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
2010-03-09,31.859968140000003,0.5628565799999983,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
2010-03-10,32.119967880000004,0.25999974000000137,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
2010-03-11,32.214253500000005,0.09428562000000085,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-03-12,32.3713962,0.1571426999999943,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-03-15,31.97711088,-0.39428531999999805,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-03-16,32.06425365,0.08714276999999626,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-03-17,32.01711084,-0.04714280999999687,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
2010-03-18,32.09282505,0.075714210000001,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
2010-03-19,31.7499539643,-0.3428710857000006,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
2010-03-22,32.107110750000004,0.35715678570000264,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
2010-03-23,32.62282452,0.5157137699999979,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
2010-03-24,32.76711009,0.14428557000000097,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
2010-03-25,32.37853905,-0.3885710400000022,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
2010-03-26,32.9856813,0.6071422500000025,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2010-03-29,33.198538230000004,0.21285693000000094,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
2010-03-30,33.692109165000005,0.49357093500000104,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
2010-03-31,33.571395,-0.12071416500000254,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
2010-04-01,33.709966290000004,0.13857129000000157,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2010-04-06,34.21996578,0.14999985000000038,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
2010-04-07,34.371394200000005,0.151428420000002,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
2010-04-08,34.27853715,-0.09285705000000632,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
2010-04-09,34.54139403,0.26285688000000107,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2010-04-12,34.61282253,0.07142850000000323,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
2010-04-13,34.632822510000004,0.01999998000000147,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
2010-04-14,35.09853633,0.4657138199999977,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
2010-04-15,35.55996444,0.46142810999999995,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
2010-04-16,35.3428218,-0.21714263999999872,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
2010-04-19,35.29567899,-0.047142810000003976,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-04-20,34.94139363,-0.35428535999999866,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
2010-04-21,37.03139154000001,2.089997910000008,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
2010-04-22,38.0670333615,1.0356418214999934,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
2010-04-23,38.68996131,0.6229279484999992,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
2010-04-26,38.499961500000005,-0.18999980999999622,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
2010-04-27,37.434248280000006,-1.0657132199999992,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
2010-04-28,37.371391200000005,-0.06285708000000056,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
2010-04-29,38.37710448,1.0057132799999948,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
2010-04-30,37.29853413,-1.0785703499999997,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
2010-05-03,38.04996195,0.7514278199999964,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
2010-05-04,36.954248760000006,-1.0957131899999908,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2010-05-05,36.56924914500001,-0.38499961499999813,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
2010-05-06,35.17853625,-1.3907128950000072,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
